speaker,line,season,episode,scene_count,line_count
phineas,so ferb what do you wanna do today?,season_1,1,1,1
phineas,what about perry what does he want to do?,season_1,1,2,3
phineas,well he's a platypus they don't do much. i for one am starting to get bored and boredom is something of up with which i will not put! the first thing they're gonna ask us when we get back to school is what did we do over the summer?. i mean no school for three months. our life should be a roller coaster! and i mean a good roller coaster not like that one we rode at the state fair.,season_1,1,3,5
fair worker,please exit to the left.,season_1,1,4,7
phineas,man that was lame. why if i built a roller coaster i would... that's it! i know what we're gonna do today!,season_1,1,5,9
linda,phineas ferb. i'm gonna pick up a few things. you boys stays out of trouble okay?,season_1,1,5,10
phineas,okay mom. we're gonna build a roller coaster!,season_1,1,5,11
candace,i'm in charge right? you did tell them i'm in charge?,season_1,1,6,13
linda,relax candace nobody has to be in charge.,season_1,1,6,14
candace,but what if there's a emergency?,season_1,1,6,15
linda,like what?,season_1,1,6,16
candace,what if a... what if a satellite falls out of orbit and crashes into the house? ,season_1,1,6,17
linda,if that happens you're in charge.,season_1,1,6,18
candace,yes!,season_1,1,6,19
candace,mom says i'm in charge conditionally.,season_1,1,6,20
phineas,whatever.,season_1,1,7,22
candace,wait a minute what are you doing?,season_1,1,7,23
phineas,homework.,season_1,1,7,24
candace,it's summer.,season_1,1,7,25
phineas,that's cool you wait till the last minute then.,season_1,1,7,26
candace,well i'm watching you. and i'm in charge conditionally!,season_1,1,7,27
candace,hello? oh hi stacy! no i can't get to the mall right now. mom just went to the store she left me in charge well you know conditionally.,season_1,1,8,29
candace,and if you go can you see if jeremy is there? no no he's the cute one that works at mr. slushy burger.,season_1,1,9,31
candace,yeah he totally smiled at me the last time i was there. i just about died. no i told you i can't i'm watching my brother and step-brother.,season_1,1,10,33
candace,yeah and they never get into trouble 'cause mom never catches them. one of these days though i'm going to see that she catches them red handed.,season_1,1,11,35
candace,will you hold it down i am trying to use the phone! mom left me in charge so there will be no shenanigans today. what are doing right now? why do you ask? what do you mean you can see it from your house? see what?!,season_1,1,12,37
candace,phineas what is this?!,season_1,1,13,39
phineas,do you like it?,season_1,1,13,40
candace,ooh i'm gonna tell mom and when she sees what you're doing you are going down. down! down! down! d-o-w-n down!,season_1,1,13,41
phineas,we're gonna need a blowtorch and some more peanut butter.,season_1,1,14,43
isabella,hey candace is phineas... home?,season_1,1,15,45
candace,down down i say!,season_1,1,15,46
isabella,hey phineas.,season_1,1,16,48
phineas,hey isabella.,season_1,1,16,49
isabella,whatcha doin'?,season_1,1,16,50
phineas,building a roller coaster.,season_1,1,16,51
isabella,in your backyard?,season_1,1,16,52
phineas,some of it.,season_1,1,16,53
isabella,wow. isn't that kind of impossible?,season_1,1,16,54
phineas,some might say.,season_1,1,16,55
isabella,hey ferb.,season_1,1,16,56
isabella,does your step-brother ever talk?,season_1,1,17,58
phineas,ferb? he's more of a man of action.,season_1,1,17,59
isabella,i was gonna go to the pool you wanna go swimming?,season_1,1,18,61
phineas,kind of in the middle of something here.,season_1,1,18,62
isabella,oh right. okay i'll see you later then. ,season_1,1,18,63
phineas,okay. hey ferb! you got enough rivets up there?,season_1,1,18,64
phineas,hey where's perry?,season_1,1,19,66
major monogram,good morning agent p. the evil dr. doofenshmirtz is up to his old tricks. for reasons unknown to us he bought up 80% of the country's tin foil. i want you to get over to his hideout right away. find out what he's up to and put a stop to it. as always agent p it is important that your cover identity as a mindless domestic pet remains intact. now get out there. we're all counting on you.,season_1,1,20,68
phineas,so the way i see it the fuel rockets kick in at the mall's parking lot then we release the snakes during the corkscrew at the interstate. i'm gonna go get the snakes.,season_1,1,21,70
candace,mom! you gotta come home right now.,season_1,1,23,73
linda,did a satellite crash into the house?,season_1,1,23,74
candace,no no no. you gotta see what phineas and ferb are doing.,season_1,1,23,75
linda,seems like we've had this conversation before.,season_1,1,23,76
candace,what do you mean?,season_1,1,23,77
